city,country,budget,walkability,aqi,popularity,low_season,medium_season,high_season,interest_type,interest_title,interest_text
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",see,Aalborg Akvavit,Aalborg Akvavit: Distillery.
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",see,Aalborghus Castle,Aalborghus Castle: A castle and garden from the 16th century.
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",see,Aalborg Townhall,Aalborg Townhall: Built in 1759.
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",see,Aalborg Zoo,"Aalborg Zoo: Cosy zoo with many ""classic"" zoo animals such as giraffes, elephants and big cats. The biggest enclosure is the savanna, where several African animals are free-ranging. There is also a big playground and a nice restaurant."
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",see,Elbjørn,"Elbjørn: Icebreaker now working as a restaurant and culture ship at the Aalborg harbour. It has a restaurant, a bar, glass workshop, and a museum."
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",see,Jens Bangs Stenhus,"Jens Bangs Stenhus: Beautiful renaissance house, built in 1624 by the merchant Jens Bang."
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",see,Jørgen Olufsens House,Jørgen Olufsens House: Well preserved renaissance house from 1616 by the merchant Jørgen Olufsen.
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",see,Lille Vildmose,"Lille Vildmose: The largest raised bog in Western Europe, good wildlife exhibition center with small cafe and restaurant and excellent bird watching."
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",see,Royal Taxhouse,"Royal Taxhouse: Built in 1902 representing national romantic architecture. In 2005, it was brought back to its original style. Next to the house is a musical fountain, during summer at noon, 3PM, 6PM and 9PM Händel's Water Music accompanise the splashing water."
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",see,Utzon Centre,"Utzon Centre: A cultural centre exhibiting art, architecture and design. Focuses on Jørgen Utzon's own work and other work somehow related to him. Also has a restaurant."
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",do,Aalborg Karnival,Aalborg Karnival: The biggest carnival in Northern Europe. If you want to have fun with Danish people this is a great opportunity.
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",do,Bicycle,Bicycle: Rent a bicycle and go along the fjord.
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",do,Casino Aalborg,"Casino Aalborg: Offer American Roulette, Black Jack, Poker and slot machines.  Nice experience, but the atmosphere here is not as chic and international as you might expect."
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",do,Egholm,Egholm: Take a ferry to this small island in the fjord.
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",do,Jumboland,"Jumboland: Indoor playground of 2,400 sqm.  Does also have a café."
